Name,Docs URL,Number of pages,Example URL,Rendering apps,User journey,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
national_statistics,https://docs.publishing.service.gov.uk/document-types/national_statistics.html,11380,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,government-frontend,thing,publications,statistics,statistics,research_and_statistics
national_statistics_announcement,https://docs.publishing.service.gov.uk/document-types/national_statistics_announcement.html,1,https://www.gov.uk/government/statistics/announcements/farming-statistics-provisional-2015-cereal-and-oilseed-rape-production-estimates-united-kingdom,government-frontend,thing,other,other,statistics,research_and_statistics
need,https://docs.publishing.service.gov.uk/document-types/need.html,0,,info-frontend,thing,other,other,other,other
news_article,https://docs.publishing.service.gov.uk/document-types/news_article.html,1350,https://www.gov.uk/government/world-location-news/255470.es-419,whitehall-frontend,thing,other,other,news,news_and_communications
news_story,https://docs.publishing.service.gov.uk/document-types/news_story.html,42677,https://www.gov.uk/government/news/uk-travel-update-malta-added-to-green-list-and-green-watchlist-extended-as-plans-for-quarantine-free-travel-for-fully-vaccinated-passengers-from-ambe,"government-frontend, whitehall-frontend",thing,announcements,news-stories,news,news_and_communications
notice,https://docs.publishing.service.gov.uk/document-types/notice.html,4560,https://www.gov.uk/government/publications/guidance-about-the-events-research-programme-erp-paving-the-way-for-larger-audiences-to-attend-sport-theatre-and-gigs-safely-this-summer,"government-frontend, whitehall-frontend",thing,publications,notices,guidance,guidance_and_regulation
official,https://docs.publishing.service.gov.uk/document-types/official.html,0,,government-frontend,thing,other,other,other,other
official_statistics,https://docs.publishing.service.gov.uk/document-types/official_statistics.html,13805,https://www.gov.uk/government/statistics/annual-flu-reports,"government-frontend, whitehall-frontend",thing,publications,statistics,statistics,research_and_statistics
official_statistics_announcement,https://docs.publishing.service.gov.uk/document-types/official_statistics_announcement.html,0,,government-frontend,thing,other,other,statistics,research_and_statistics
open_consultation,https://docs.publishing.service.gov.uk/document-types/open_consultation.html,83,https://www.gov.uk/government/consultations/aligning-the-upper-age-for-nhs-prescription-charge-exemptions-with-the-state-pension-age,government-frontend,thing,publications,consultations,consultations,policy_and_engagement
oral_statement,https://docs.publishing.service.gov.uk/document-types/oral_statement.html,683,https://www.gov.uk/government/speeches/19-july-remains-our-target-date-for-ending-restrictions,government-frontend,thing,announcements,statements,speeches_and_statements,news_and_communications
organisation,https://docs.publishing.service.gov.uk/document-types/organisation.html,0,,"whitehall-frontend, collections",finding,other,other,other,other
our_energy_use,https://docs.publishing.service.gov.uk/document-types/our_energy_use.html,27,https://www.gov.uk/government/organisations/department-for-work-pensions/about/our-energy-use,government-frontend,thing,other,other,other,other
our_governance,https://docs.publishing.service.gov.uk/document-types/our_governance.html,111,https://www.gov.uk/government/organisations/department-of-health-and-social-care/about/our-governance,"government-frontend, whitehall-frontend",thing,other,other,other,other
person,https://docs.publishing.service.gov.uk/document-types/person.html,4189,https://www.gov.uk/government/people/matthew-hancock,whitehall-frontend,thing,other,other,other,other
personal_information_charter,https://docs.publishing.service.gov.uk/document-types/personal_information_charter.html,115,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service/about/personal-information-charter,"government-frontend, whitehall-frontend",thing,other,other,other,other
petitions_and_campaigns,https://docs.publishing.service.gov.uk/document-types/petitions_and_campaigns.html,4,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government/about/petitions-and-campaigns,government-frontend,thing,other,other,other,other
place,https://docs.publishing.service.gov.uk/document-types/place.html,20,https://www.gov.uk/register-offices,frontend,thing,other,other,transactions,services
placeholder,https://docs.publishing.service.gov.uk/document-types/placeholder.html,0,,whitehall-frontend,thing,other,other,other,other
placeholder_ministerial_role,https://docs.publishing.service.gov.uk/document-types/placeholder_ministerial_role.html,0,,whitehall-frontend,thing,other,other,other,other
placeholder_organisation,https://docs.publishing.service.gov.uk/document-types/placeholder_organisation.html,0,,"",thing,other,other,other,other
placeholder_person,https://docs.publishing.service.gov.uk/document-types/placeholder_person.html,0,,whitehall-frontend,thing,other,other,other,other
placeholder_policy_area,https://docs.publishing.service.gov.uk/document-types/placeholder_policy_area.html,0,,"",thing,other,other,other,other
placeholder_topical_event,https://docs.publishing.service.gov.uk/document-types/placeholder_topical_event.html,0,,"",thing,other,other,other,other
placeholder_world_location,https://docs.publishing.service.gov.uk/document-types/placeholder_world_location.html,0,,"",thing,other,other,other,other
placeholder_world_location_news_page,https://docs.publishing.service.gov.uk/document-types/placeholder_world_location_news_page.html,0,,whitehall-frontend,thing,other,other,other,other
placeholder_worldwide_organisation,https://docs.publishing.service.gov.uk/document-types/placeholder_worldwide_organisation.html,0,,whitehall-frontend,thing,other,other,other,other
policy_area,https://docs.publishing.service.gov.uk/document-types/policy_area.html,0,,whitehall-frontend,thing,other,other,other,other
policy_paper,https://docs.publishing.service.gov.uk/document-types/policy_paper.html,10745,https://www.gov.uk/government/publications/self-employment-income-support-scheme-fifth-grant,"government-frontend, whitehall-frontend",thing,publications,policy-papers,policy,policy_and_engagement
press_release,https://docs.publishing.service.gov.uk/document-types/press_release.html,31781,https://www.gov.uk/government/news/vaccines-highly-effective-against-hospitalisation-from-delta-variant,government-frontend,thing,announcements,press-releases,news,news_and_communications
procurement,https://docs.publishing.service.gov.uk/document-types/procurement.html,64,https://www.gov.uk/government/organisations/ministry-of-defence/about/procurement,"government-frontend, whitehall-frontend",thing,other,other,other,other
promotional,https://docs.publishing.service.gov.uk/document-types/promotional.html,806,https://www.gov.uk/government/publications/view-and-prove-your-immigration-status-evisa,"government-frontend, whitehall-frontend",thing,publications,promotional-material,guidance,guidance_and_regulation
protected_food_drink_name,https://docs.publishing.service.gov.uk/document-types/protected_food_drink_name.html,5319,https://www.gov.uk/protected-food-drink-names/mallorca,"",thing,other,other,other,other
publication_scheme,https://docs.publishing.service.gov.uk/document-types/publication_scheme.html,92,https://www.gov.uk/government/organisations/hm-revenue-customs/about/publication-scheme,"government-frontend, whitehall-frontend",thing,other,other,other,other
raib_report,https://docs.publishing.service.gov.uk/document-types/raib_report.html,491,https://www.gov.uk/raib-reports/safety-digest-03-slash-2021-llandegai-tunnel,government-frontend,thing,other,other,incidents,transparency
recruitment,https://docs.publishing.service.gov.uk/document-types/recruitment.html,96,https://www.gov.uk/government/organisations/department-for-work-pensions/about/recruitment,"government-frontend, whitehall-frontend",thing,other,other,other,other
redirect,https://docs.publishing.service.gov.uk/document-types/redirect.html,0,,"",thing,other,other,other,other
regulation,https://docs.publishing.service.gov.uk/document-types/regulation.html,771,https://www.gov.uk/government/publications/model-articles-for-private-companies-limited-by-shares,government-frontend,thing,publications,regulations,regulation,guidance_and_regulation
research,https://docs.publishing.service.gov.uk/document-types/research.html,12442,https://www.gov.uk/government/publications/the-national-minimum-wage-in-2021,"government-frontend, whitehall-frontend",thing,publications,research-and-analysis,research,research_and_statistics
research_for_development_output,https://docs.publishing.service.gov.uk/document-types/research_for_development_output.html,35624,https://www.gov.uk/research-for-development-outputs/implementing-inclusive-education,"",thing,other,other,other,other
residential_property_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/residential_property_tribunal_decision.html,4905,https://www.gov.uk/residential-property-tribunal-decisions/22-the-vulcan-gunwharf-quays-portsmouth-hampshire-po1-3bf-chi-slash-00mr-slash-lsc-slash-2020-slash-0114,government-frontend,thing,other,other,other,other
role_appointment,https://docs.publishing.service.gov.uk/document-types/role_appointment.html,0,,"",thing,other,other,other,other
search,https://docs.publishing.service.gov.uk/document-types/search.html,0,,finder-frontend,finding,other,other,other,other
service_manual_guide,https://docs.publishing.service.gov.uk/document-types/service_manual_guide.html,175,https://www.gov.uk/service-manual/agile-delivery/how-the-discovery-phase-works,service-manual-frontend,thing,other,other,other,other
service_manual_homepage,https://docs.publishing.service.gov.uk/document-types/service_manual_homepage.html,1,https://www.gov.uk/service-manual,service-manual-frontend,finding,other,other,other,other
service_manual_service_standard,https://docs.publishing.service.gov.uk/document-types/service_manual_service_standard.html,1,https://www.gov.uk/service-manual/service-standard,service-manual-frontend,thing,other,other,other,other
service_manual_service_toolkit,https://docs.publishing.service.gov.uk/document-types/service_manual_service_toolkit.html,1,https://www.gov.uk/service-toolkit,service-manual-frontend,thing,other,other,other,other
service_manual_topic,https://docs.publishing.service.gov.uk/document-types/service_manual_topic.html,9,https://www.gov.uk/service-manual/agile-delivery,service-manual-frontend,finding,other,other,other,other
service_sign_in,https://docs.publishing.service.gov.uk/document-types/service_sign_in.html,0,,government-frontend,thing,other,other,other,other
service_standard_report,https://docs.publishing.service.gov.uk/document-types/service_standard_report.html,232,https://www.gov.uk/service-standard-reports/apply-for-replace-or-renew-a-tachograph-driver-card-company-card-alpha-assessment,government-frontend,thing,other,other,decisions,news_and_communications
services_and_information,https://docs.publishing.service.gov.uk/document-types/services_and_information.html,0,,collections,finding,other,other,other,other
simple_smart_answer,https://docs.publishing.service.gov.uk/document-types/simple_smart_answer.html,33,https://www.gov.uk/sold-bought-vehicle,frontend,thing,other,other,transactions,services
smart_answer,https://docs.publishing.service.gov.uk/document-types/smart_answer.html,34,https://www.gov.uk/check-uk-visa,smartanswers,thing,other,other,transactions,services
social_media_use,https://docs.publishing.service.gov.uk/document-types/social_media_use.html,43,https://www.gov.uk/government/organisations/student-loans-company/about/social-media-use,"government-frontend, whitehall-frontend",thing,other,other,other,other
special_representative_role,https://docs.publishing.service.gov.uk/document-types/special_representative_role.html,0,,"",thing,other,other,other,other
special_route,https://docs.publishing.service.gov.uk/document-types/special_route.html,3,https://www.gov.uk/find-local-council,"static, publicapi, collections, feedback, whitehall-frontend, email-alert-frontend, frontend, info-frontend, email-campaign-frontend, spotlight, performanceplatform-big-screen-view, finder-frontend, search-api",thing,other,other,other,other
speech,https://docs.publishing.service.gov.uk/document-types/speech.html,8832,https://www.gov.uk/government/speeches/education-secretary-outlines-priorities-on-improving-pupil-outcomes,"government-frontend, whitehall-frontend",thing,announcements,speeches,speeches_and_statements,news_and_communications
staff_update,https://docs.publishing.service.gov.uk/document-types/staff_update.html,18,https://www.gov.uk/government/organisations/sellafield-ltd/about/staff-update,"government-frontend, whitehall-frontend",thing,other,other,other,other
standard,https://docs.publishing.service.gov.uk/document-types/standard.html,1,https://www.gov.uk/government/publications/government-functional-standard-govs-001-government-functions,"",thing,other,other,guidance,guidance_and_regulation
statistical_data_set,https://docs.publishing.service.gov.uk/document-types/statistical_data_set.html,892,https://www.gov.uk/government/statistical-data-sets/unclaimed-estates-list,"government-frontend, whitehall-frontend",thing,publications,statistics,statistics,research_and_statistics
statistics,https://docs.publishing.service.gov.uk/document-types/statistics.html,35,https://www.gov.uk/government/organisations/department-of-health-and-social-care/about/statistics,government-frontend,thing,other,other,statistics,research_and_statistics
statistics_announcement,https://docs.publishing.service.gov.uk/document-types/statistics_announcement.html,6,https://www.gov.uk/government/statistics/announcements/uk-armed-forces-recovery-capability-wounded-injured-and-sick-201516,government-frontend,thing,other,other,statistics,research_and_statistics
statutory_guidance,https://docs.publishing.service.gov.uk/document-types/statutory_guidance.html,1091,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,"government-frontend, whitehall-frontend",thing,publications,guidance,guidance,guidance_and_regulation
statutory_instrument,https://docs.publishing.service.gov.uk/document-types/statutory_instrument.html,336,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-medical-devices-amendment-eu-exit-regulations-2021,government-frontend,thing,other,other,regulation,guidance_and_regulation
step_by_step_nav,https://docs.publishing.service.gov.uk/document-types/step_by_step_nav.html,45,https://www.gov.uk/get-tax-free-childcare,collections,thing,other,other,transactions,services
take_part,https://docs.publishing.service.gov.uk/document-types/take_part.html,0,,government-frontend,thing,other,other,other,other
tax_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/tax_tribunal_decision.html,1028,https://www.gov.uk/tax-and-chancery-tribunal-decisions/the-commissioners-for-hm-revenue-and-customs-v-jason-wilkes-2021-ukut-0150-tcc,government-frontend,thing,other,other,decisions,news_and_communications
taxon,https://docs.publishing.service.gov.uk/document-types/taxon.html,224,https://www.gov.uk/brexit,collections,finding,other,other,other,other
terms_of_reference,https://docs.publishing.service.gov.uk/document-types/terms_of_reference.html,32,https://www.gov.uk/government/organisations/government-property-agency/about/terms-of-reference,"government-frontend, whitehall-frontend",thing,other,other,other,other
topic,https://docs.publishing.service.gov.uk/document-types/topic.html,400,https://www.gov.uk/topic/dealing-with-hmrc/paying-hmrc,collections,finding,other,other,other,other
topical_event,https://docs.publishing.service.gov.uk/document-types/topical_event.html,0,,whitehall-frontend,finding,other,other,other,other
topical_event_about_page,https://docs.publishing.service.gov.uk/document-types/topical_event_about_page.html,0,,government-frontend,thing,other,other,other,other
traffic_commissioner_regulatory_decision,https://docs.publishing.service.gov.uk/document-types/traffic_commissioner_regulatory_decision.html,0,,"",thing,other,other,other,other
traffic_commissioner_role,https://docs.publishing.service.gov.uk/document-types/traffic_commissioner_role.html,0,,"",thing,other,other,other,other
transaction,https://docs.publishing.service.gov.uk/document-types/transaction.html,290,https://www.gov.uk/report-covid19-result,frontend,thing,other,other,transactions,services
transparency,https://docs.publishing.service.gov.uk/document-types/transparency.html,13948,https://www.gov.uk/government/publications/royal-courts-of-justice-cause-list,"government-frontend, whitehall-frontend",thing,publications,transparency-data,transparency_data,transparency
travel_advice,https://docs.publishing.service.gov.uk/document-types/travel_advice.html,226,https://www.gov.uk/foreign-travel-advice/spain,government-frontend,thing,other,other,guidance,guidance_and_regulation
travel_advice_index,https://docs.publishing.service.gov.uk/document-types/travel_advice_index.html,1,https://www.gov.uk/foreign-travel-advice,frontend,thing,other,other,other,other
uk_market_conformity_assessment_body,https://docs.publishing.service.gov.uk/document-types/uk_market_conformity_assessment_body.html,147,https://www.gov.uk/uk-market-conformity-assessment-bodies/bsi-assurance-ltd,"",thing,other,other,other,other
unpublishing,https://docs.publishing.service.gov.uk/document-types/unpublishing.html,0,,government-frontend,thing,other,other,other,other
utaac_decision,https://docs.publishing.service.gov.uk/document-types/utaac_decision.html,1126,https://www.gov.uk/administrative-appeals-tribunal-decisions/mh-v-secretary-of-state-for-work-and-pensions-pip-2016-ukut-0531-aac,government-frontend,thing,other,other,decisions,news_and_communications
vanish,https://docs.publishing.service.gov.uk/document-types/vanish.html,0,,"",thing,other,other,other,other
welsh_language_scheme,https://docs.publishing.service.gov.uk/document-types/welsh_language_scheme.html,27,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency/about/welsh-language-scheme,"government-frontend, whitehall-frontend",thing,other,other,other,other
working_group,https://docs.publishing.service.gov.uk/document-types/working_group.html,0,,government-frontend,thing,other,other,other,other
world_location,https://docs.publishing.service.gov.uk/document-types/world_location.html,0,,whitehall-frontend,thing,other,other,other,other
world_location_news_article,https://docs.publishing.service.gov.uk/document-types/world_location_news_article.html,0,,government-frontend,thing,other,other,news,news_and_communications
world_news_story,https://docs.publishing.service.gov.uk/document-types/world_news_story.html,13425,https://www.gov.uk/government/news/uk-announces-2-year-post-study-work-visa-for-international-students,government-frontend,thing,announcements,other,news,news_and_communications
worldwide_office_staff_role,https://docs.publishing.service.gov.uk/document-types/worldwide_office_staff_role.html,0,,"",thing,other,other,other,other
worldwide_organisation,https://docs.publishing.service.gov.uk/document-types/worldwide_organisation.html,0,,whitehall-frontend,thing,other,other,other,other
written_statement,https://docs.publishing.service.gov.uk/document-types/written_statement.html,1960,https://www.gov.uk/government/speeches/traffic-light-system-safe-return-to-international-travel,government-frontend,thing,announcements,statements,speeches_and_statements,news_and_communications

